"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln AGP (g/L)","Length-for-Age Z-Score 3 months","307","-1.11","-0.6","-1.2","-1.4","-0.2 (-0.41, 0)","0.05"
"4","","Weight-for-Length Z-Score 3 months","340","-1.11","-0.59","-0.45","-0.07","0.38 (0.07, 0.69)","0.02NA"
"5","","Length-for-Age Z-Score 14 months","513","-1.11","-0.54","-0.85","-0.98","-0.13 (-0.37, 0.11)","0.28"
"6","","Weight-for-Length Z-Score 14 months","509","-1.11","-0.54","-0.91","-0.82","0.08 (-0.03, 0.2)","0.15NA"
"7","","Ln IGF-1 14 months (ug/L)","428","-1.14","-0.54","38.74","40.07","1.32 (-1.03, 3.67)","0.27NA"
"8","","Length-for-Age Z-Score 28 months","538","-1.11","-0.58","-1.4","-1.41","-0.01 (-0.19, 0.18)","0.95"
"9","","Weight-for-Length Z-Score 28 months","540","-1.12","-0.58","-0.99","-0.94","0.05 (-0.03, 0.13)","0.25NA"
"10","","Ln IGF-1 28 months (ug/L)","503","-1.14","-0.58","50.95","53.52","2.58 (0.34, 4.81)","0.02NA"
"11","","","","","","","","",""
"12","Ln CRP (mg/L)","Length-for-Age Z-Score 3 months","307","0.12","1.51","-1.39","-1.17","0.22 (-0.1, 0.55)","0.18"
"13","","Weight-for-Length Z-Score 3 months","340","0.1","1.51","-0.36","-0.33","0.03 (-0.33, 0.39)","0.88NA"
"14","","Length-for-Age Z-Score 14 months","513","0","1.42","-1.14","-1.02","0.12 (-0.08, 0.32)","0.24"
"15","","Weight-for-Length Z-Score 14 months","509","0","1.43","-1.01","-0.81","0.21 (0, 0.41)","0.05NA"
"16","","Ln IGF-1 14 months (ug/L)","428","-0.12","1.42","38.54","39.55","1.01 (-1.42, 3.45)","0.42NA"
"17","","Length-for-Age Z-Score 28 months","538","-0.08","1.42","-1.5","-1.29","0.22 (0.01, 0.42)","0.04"
"18","","Weight-for-Length Z-Score 28 months","540","-0.08","1.42","-0.96","-0.95","0.01 (-0.09, 0.11)","0.85NA"
"19","","Ln IGF-1 28 months (ug/L)","503","-0.11","1.41","49.86","51.38","1.52 (-1.84, 4.88)","0.38NA"
"20","","","","","","","","",""
"21","","","","","","","","",""
"22","Sum score of 13 cytokines","Length-for-Age Z-Score 3 months","284","-0.7","0.65","-1.34","-1.23","0.11 (-0.28, 0.5)","0.59"
"23","","Weight-for-Length Z-Score 3 months","281","-0.7","0.65","-0.28","-0.34","-0.05 (-0.25, 0.14)","0.59NA"
"24","","Length-for-Age Z-Score 14 months","421","-0.64","0.63","-1.22","-1.3","-0.08 (-0.33, 0.16)","0.53"
"25","","Weight-for-Length Z-Score 14 months","421","-0.64","0.63","-0.83","-0.94","-0.12 (-0.24, 0.01)","0.07NA"
"26","","Ln IGF-1 14 months (ug/L)","365","-0.63","0.64","38.84","37.11","-1.72 (-4.33, 0.89)","0.2NA"
"27","","Length-for-Age Z-Score 28 months","509","-0.64","0.65","-1.27","-1.45","-0.18 (-0.41, 0.05)","0.13"
"28","","Weight-for-Length Z-Score 28 months","510","-0.64","0.65","-0.86","-0.96","-0.1 (-0.14, -0.07)","0NA"
"29","","Ln IGF-1 28 months (ug/L)","479","-0.64","0.65","50.99","47.27","-3.72 (-8.1, 0.66)","0.1NA"
